Cell_id,species,paper,Age,stage
D9A1S10,human,Xiang,D09,peri
D9A1S2,human,Xiang,D09,peri
D9A1S23,human,Xiang,D09,peri
D9A1S26,human,Xiang,D09,peri
D9A1S28,human,Xiang,D09,peri
D9A1S3,human,Xiang,D09,peri
D9A1S7,human,Xiang,D09,peri
D9A1S8,human,Xiang,D09,peri
D9A2B1,human,Xiang,D09,peri
D9A2B2,human,Xiang,D09,peri
D9A2B3,human,Xiang,D09,peri
D9A2B5,human,Xiang,D09,peri
D9A2B8,human,Xiang,D09,peri
D9A2S1,human,Xiang,D09,peri
D9A2S2,human,Xiang,D09,peri
D9A2S3,human,Xiang,D09,peri
D9A2S4,human,Xiang,D09,peri
D9A2S6,human,Xiang,D09,peri
D9A3B1,human,Xiang,D09,peri
D9A3B2,human,Xiang,D09,peri
D9A3B3,human,Xiang,D09,peri
D9A3B4,human,Xiang,D09,peri
D9A3B7,human,Xiang,D09,peri
D9A3S1,human,Xiang,D09,peri
D9A3S11,human,Xiang,D09,peri
D9A3S14,human,Xiang,D09,peri
D9A3S15,human,Xiang,D09,peri
D9A3S2,human,Xiang,D09,peri
D9A3S3,human,Xiang,D09,peri
D9A4B1,human,Xiang,D09,peri
D9A4B2,human,Xiang,D09,peri
D9A4B4,human,Xiang,D09,peri
D9A4B7,human,Xiang,D09,peri
D9A4B8,human,Xiang,D09,peri
D9A4S1,human,Xiang,D09,peri
D9A4S10,human,Xiang,D09,peri
D9A4S11,human,Xiang,D09,peri
D9A4S14,human,Xiang,D09,peri
D9A4S16,human,Xiang,D09,peri
D9A4S3,human,Xiang,D09,peri
D9A4S4,human,Xiang,D09,peri
D9A4S5,human,Xiang,D09,peri
D9A4S6,human,Xiang,D09,peri
D9A4S7,human,Xiang,D09,peri
D9A4S9,human,Xiang,D09,peri
D9A5B5,human,Xiang,D09,peri
D9A5S10,human,Xiang,D09,peri
D9A5S11,human,Xiang,D09,peri
D9A5S12,human,Xiang,D09,peri
D9A5S3,human,Xiang,D09,peri
D9A5S6,human,Xiang,D09,peri
D9A5S8,human,Xiang,D09,peri
D9A5S9,human,Xiang,D09,peri
D9A6B1,human,Xiang,D09,peri
D9A6B6,human,Xiang,D09,peri
D9A6B8,human,Xiang,D09,peri
D9A6S10,human,Xiang,D09,peri
D9A6S14,human,Xiang,D09,peri
D9A6S15,human,Xiang,D09,peri
D9A6S5,human,Xiang,D09,peri
D9A6S9,human,Xiang,D09,peri
D14_2S1,human,Xiang,D14,late post
D14_3B5,human,Xiang,D14,late post
D14_3B6,human,Xiang,D14,late post
D14_3S10,human,Xiang,D14,late post
D14_3S15,human,Xiang,D14,late post
D14_3S16,human,Xiang,D14,late post
D14_3S9,human,Xiang,D14,late post
D14_2S2,human,Xiang,D14,late post
D14_2B1,human,Xiang,D14,late post
D14_2B3,human,Xiang,D14,late post
